word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
fewer;9361;3.72;11.256;--;4063;2788;--
gross;9362;3.72;14.852;2750;3172;3012;--
kick;9363;3.72;15.524;721;--;--;697
oops;9364;3.72;14.852;2610;--;--;--
operation;9365;3.72;16.041;--;840;1732;--
removed;9366;3.72;13.856;4970;1394;2654;--
withdrawal;9367;3.72;18.410;--;--;4521;--
crowded;9368;3.71;20.514;--;--;--;3230
lacking;9369;3.71;16.330;--;4770;--;--
revenge;9370;3.71;23.363;--;--;--;2766
foolish;9371;3.7;16.929;--;--;--;2053
con;9372;3.7;11.473;795;3613;--;478
crooked;9373;3.7;16.067;--;--;--;2952
demanding;9374;3.7;16.194;--;--;4689;--
dirt;9375;3.7;15.286;3101;--;--;1255
don't;9376;3.7;10.926;--;--;--;--
dont;9377;3.7;10.738;202;--;--;399
goodbye;9378;3.7;18.323;2307;--;--;426
locked;9379;3.7;12.657;3004;--;--;1078
remove;9380;3.7;11.995;3761;2348;2659;--
sentenced;9381;3.7;16.568;--;--;3077;--
wasnt;9382;3.7;10.546;2192;--;--;--
won't;9383;3.7;11.112;--;--;--;--
abnormal;9384;3.69;16.734;--;4570;--;--
hustler;9385;3.69;17.644;--;--;--;3859
controversy;9386;3.68;17.431;--;3863;4508;--
disagree;9387;3.68;12.526;--;--;--;4651
fees;9388;3.68;15.043;--;--;2329;--
hitting;9389;3.68;17.431;2352;--;4241;4305
kicking;9390;3.68;16.218;3219;--;--;3019
mean;9391;3.68;19.213;359;518;1308;309
missed;9392;3.68;12.362;673;--;589;1370
rival;9393;3.68;15.043;--;--;3498;--
sucker;9394;3.68;19.529;--;--;--;2509
waiting;9395;3.68;12.362;396;1920;1775;282
wrath;9396;3.68;19.737;--;--;--;3713
plead;9397;3.67;14.052;--;--;--;4156
closed;9398;3.66;15.986;1552;1461;701;1416
deadline;9399;3.66;11.537;4935;--;3628;--
down;9400;3.66;15.598;153;144;198;40
low;9401;3.66;11.178;913;421;1199;503
messy;9402;3.66;11.886;3753;--;--;--
outdated;9403;3.66;11.713;--;--;4377;--
patients;9404;3.66;14.086;--;533;1269;--
